,Siruta,Localitate,Judet,Populatie,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
174,14272,Balilesti,AG,4073,27222.0,0.0,770914.0,0.0,0.0,0.0,0.0,0.0,0.0
175,14352,Beleti-Negresti,AG,1878,0.0,0.0,0.0,297622.0,0.0,0.0,0.0,0.0,0.0
176,14405,Berevoesti,AG,3509,0.0,0.0,2123134.0,0.0,0.0,61238630.0,0.0,0.0,0.0
177,14450,Barla,AG,4629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,14584,Bogati,AG,4499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,14673,Boteni,AG,2429,0.0,0.0,505378.0,0.0,0.0,0.0,0.0,0.0,0.0
180,14726,Botesti,AG,1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,14753,Bradulet,AG,1816,9857987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,14851,Budeasa,AG,4128,0.0,0.0,130965.0,44996201.0,0.0,3364648.0,0.0,0.0,0.0
183,14922,Bughea De Jos,AG,3083,0.0,0.0,329893.0,0.0,0.0,0.0,0.0,0.0,0.0
184,14940,Buzoesti,AG,5655,3276756.0,0.0,1268961.0,0.0,0.0,0.0,0.0,0.0,0.0
185,15064,Caldararu,AG,2367,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,15108,Calinesti,AG,11159,1649685.0,18610.0,1308929.0,6600.0,0.0,88975054.0,0.0,0.0,0.0
187,15233,Cateasca,AG,3723,13062946.0,5536975.0,2260316.0,21879837.0,0.0,6398316.0,0.0,5622827.0,45231.0
188,15313,Cepari,AG,2236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,15402,Cetateni,AG,3008,2589515.0,0.0,8410.0,0.0,0.0,0.0,0.0,0.0,0.0
190,15448,Cicanesti,AG,2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,15493,Ciofrangeni,AG,2349,0.0,0.0,121006.0,0.0,0.0,0.0,0.0,0.0,0.0
192,15554,Ciomagesti,AG,1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,15652,Cocu,AG,2319,0.0,0.0,0.0,0.0,52823.0,2648.0,0.0,0.0,0.0
194,15741,Corbeni,AG,5880,0.0,0.0,505132.0,0.0,0.0,0.0,0.0,587953.0,0.0
195,15830,Corbi,AG,4095,3052974.0,94314.0,1100769.0,0.0,0.0,0.0,0.0,24500.0,0.0
196,15901,Cosesti,AG,5283,0.0,0.0,53944650.0,39604.0,0.0,0.0,0.0,76786.0,0.0
197,15983,Cotmeana,AG,1910,251257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,16132,Cuca,AG,2102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,16285,Davidesti,AG,3110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,16329,Dambovicioara,AG,925,0.0,0.0,6033371.0,0.0,0.0,0.0,0.0,0.0,0.0
201,16365,Darmanesti,AG,3552,0.0,0.0,4625019.0,0.0,0.0,214300393.0,0.0,0.0,0.0
202,16427,Dobresti,AG,1783,208569.0,0.0,877000.0,0.0,0.0,0.0,0.0,0.0,0.0
203,16454,Domnesti,AG,3156,157472.0,0.0,1452792.0,0.0,0.0,0.0,0.0,0.0,0.0
204,16472,Dragoslavele,AG,2628,13942557.0,0.0,488980.0,0.0,0.0,0.0,0.0,0.0,0.0
205,16506,Draganu,AG,1955,64688.0,0.0,75284.0,0.0,0.0,0.0,0.0,0.0,0.0
206,16551,Godeni,AG,3004,1030057.0,0.0,506705.0,0.0,0.0,1515044.0,0.0,0.0,0.0
207,16613,Harsesti,AG,2286,0.0,13047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,16659,Hartiesti,AG,2290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,16739,Izvoru,AG,2199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,16757,Leordeni,AG,5707,0.0,4521771.0,506614.0,0.0,291822.0,0.0,0.0,0.0,0.0
211,16908,Leresti,AG,4640,63833.0,2360426.0,3585099.0,0.0,0.0,0.0,0.0,91355.0,0.0
212,16944,Lunca Corbului,AG,2702,0.0,0.0,71581.0,0.0,0.0,13156267.0,0.0,0.0,0.0
213,17049,Malureni,AG,4686,9604.0,0.0,5863345.0,0.0,0.0,0.0,0.0,0.0,0.0
214,17101,Merisani,AG,4643,0.0,241611.0,282505.0,0.0,0.0,0.0,0.0,883241.0,0.0
215,17209,Micesti,AG,4624,209090.0,0.0,299217.0,5006426.0,0.0,127024913.0,0.0,3372895.0,2824579.0
216,17254,Mihaesti,AG,6126,0.0,4140730.0,1357248.0,0.0,0.0,0.0,0.0,0.0,0.0
217,17334,Mioarele,AG,1601,0.0,0.0,77945.0,0.0,0.0,0.0,0.0,0.0,0.0
218,17398,Mirosi,AG,2368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,17423,Moraresti,AG,1857,498401.0,0.0,3678184.0,0.0,0.0,0.0,0.0,0.0,0.0
220,17496,Mosoaia,AG,5709,47337.0,18153.0,82880.0,0.0,0.0,3385270.0,0.0,4398487.0,0.0
221,17575,Mozaceni,AG,2142,4125365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,17619,Musatesti,AG,3684,0.0,0.0,4042859.0,0.0,0.0,0.0,0.0,0.0,0.0
223,17726,Negrasi,AG,2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,17771,Nucsoara,AG,1446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,17824,Oarja,AG,2835,7204645.0,0.0,0.0,0.0,0.0,0.0,0.0,1759911.0,0.0
226,17851,Pietrosani,AG,5670,1097499.0,0.0,47240322.0,0.0,0.0,0.0,0.0,0.0,0.0
227,17913,Poienarii De Arges,AG,999,0.0,0.0,2164701.0,0.0,0.0,0.0,0.0,0.0,0.0
228,17968,Poienarii De Muscel,AG,3411,0.0,0.0,602.0,0.0,0.0,0.0,0.0,151593.0,0.0
229,18028,Poiana Lacului,AG,6515,7352017.0,292820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,18162,Popesti,AG,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,18242,Priboieni,AG,3532,0.0,0.0,254967.0,0.0,0.0,0.0,0.0,0.0,0.0
232,18331,Ratesti,AG,3064,0.0,218388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,18411,Recea,AG,2769,163789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,18475,Rociu,AG,2504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
